step,time,pos_x,pos_y,pos_z,local_x,local_y,local_z
0,0.0000,0.0200,50.0488,10.0000,-0.0200,48.2488,-10.0000
1,0.0100,0.0399,50.0963,10.0000,-0.0399,48.2963,-10.0000
2,0.0200,0.0598,50.1427,10.0000,-0.0598,48.3427,-10.0000
3,0.0300,0.0796,50.1878,10.0000,-0.0796,48.3878,-10.0000
4,0.0400,0.0994,50.2318,10.0000,-0.0994,48.4318,-10.0000
5,0.0500,0.1192,50.2746,10.0000,-0.1192,48.4746,-10.0000
6,0.0600,0.1389,50.3162,10.0000,-0.1389,48.5162,-10.0000
7,0.0700,0.1586,50.3567,10.0000,-0.1586,48.5567,-10.0000
8,0.0800,0.1782,50.3960,10.0000,-0.1782,48.5960,-10.0000
9,0.0900,0.1978,50.4342,10.0000,-0.1978,48.6342,-10.0000
10,0.1000,0.2174,50.4713,10.0000,-0.2174,48.6713,-10.0000
11,0.1100,0.2369,50.5073,10.0000,-0.2369,48.7073,-10.0000
12,0.1200,0.2564,50.5421,10.0000,-0.2564,48.7421,-10.0000
13,0.1300,0.2759,50.5758,10.0000,-0.2759,48.7758,-10.0000
14,0.1400,0.2953,50.6085,10.0000,-0.2953,48.8085,-10.0000
15,0.1500,0.3147,50.6401,10.0000,-0.3147,48.8401,-10.0000
16,0.1600,0.3340,50.6705,10.0000,-0.3340,48.8705,-10.0000
17,0.1700,0.3533,50.7000,10.0000,-0.3533,48.9000,-10.0000
18,0.1800,0.3726,50.7283,10.0000,-0.3726,48.9283,-10.0000
19,0.1900,0.3918,50.7556,10.0000,-0.3918,48.9556,-10.0000
20,0.2000,0.4110,50.7818,10.0000,-0.4110,48.9818,-10.0000
21,0.2100,0.4302,50.8070,10.0000,-0.4302,49.0070,-10.0000
22,0.2200,0.4493,50.8311,10.0000,-0.4493,49.0311,-10.0000
23,0.2300,0.4684,50.8542,10.0000,-0.4684,49.0542,-10.0000
24,0.2400,0.4874,50.8763,10.0000,-0.4874,49.0763,-10.0000
25,0.2500,0.5064,50.8973,10.0000,-0.5064,49.0973,-10.0000
26,0.2600,0.5254,50.9174,10.0000,-0.5254,49.1174,-10.0000
27,0.2700,0.5443,50.9363,10.0000,-0.5443,49.1363,-10.0000
28,0.2800,0.5632,50.9543,10.0000,-0.5632,49.1543,-10.0000
29,0.2900,0.5821,50.9713,10.0000,-0.5821,49.1713,-10.0000
30,0.3000,0.6009,50.9872,10.0000,-0.6009,49.1872,-10.0000
31,0.3100,0.6197,51.0022,10.0000,-0.6197,49.2022,-10.0000
32,0.3200,0.6385,51.0161,10.0000,-0.6385,49.2161,-10.0000
33,0.3300,0.6572,51.0291,10.0000,-0.6572,49.2291,-10.0000
34,0.3400,0.6759,51.0411,10.0000,-0.6759,49.2411,-10.0000
35,0.3500,0.6945,51.0520,10.0000,-0.6945,49.2520,-10.0000
36,0.3600,0.7132,51.0620,10.0000,-0.7132,49.2620,-10.0000
37,0.3700,0.7317,51.0710,10.0000,-0.7317,49.2710,-10.0000
38,0.3800,0.7503,51.0789,10.0000,-0.7503,49.2789,-10.0000
39,0.3900,0.7688,51.0859,10.0000,-0.7688,49.2859,-10.0000
40,0.4000,0.7873,51.0920,10.0000,-0.7873,49.2920,-10.0000
41,0.4100,0.8057,51.0970,10.0000,-0.8057,49.2970,-10.0000
42,0.4200,0.8242,51.1010,10.0000,-0.8242,49.3010,-10.0000
43,0.4300,0.8425,51.1041,10.0000,-0.8425,49.3041,-10.0000
44,0.4400,0.8609,51.1062,10.0000,-0.8609,49.3062,-10.0000
45,0.4500,0.8792,51.1073,10.0000,-0.8792,49.3073,-10.0000
46,0.4600,0.8975,51.1074,10.0000,-0.8975,49.3074,-10.0000
47,0.4700,0.9157,51.1066,10.0000,-0.9157,49.3066,-10.0000
48,0.4800,0.9339,51.1048,10.0000,-0.9339,49.3048,-10.0000
